currentStockPrice,movingAveragePrice,changePercentage,name,symbol
64.95,51.96,25.000000000000007,National Aluminium Co. Ltd.,NATIONALUM
1252.45,1423.51,-12.016775435367503,Torrent Pharmaceuticals Ltd.,TORNTPHARM
156.55,124.53,25.71267967558019,Engineers India Ltd.,ENGINERSIN
207.6,183.96,12.850619699934759,Torrent Power Ltd.,TORNTPOWER
345.8,297.21,16.34870966656574,Oil India Ltd.,OIL
749.2,1111.23,-32.579214024099414,Divi's Laboratories Ltd.,DIVISLAB
196.75,164.27,19.772326048578552,Sonata Software Ltd.,SONATSOFTW
209.3,203.19,3.007037747920672,FDC Ltd.,FDC
1464.6,1526.48,-4.0537707667313105,Lupin Ltd.,LUPIN
279.9,299.98,-6.693779585305701,TV Today Network Ltd.,TVTODAY
138.25,133.66,3.4340864881041475,Greaves Cotton Ltd.,GREAVESCOT
134.6,143.14,-5.966186949839313,KPIT Technologies Ltd.,KPIT
357.45,337.29,5.977052388152618,Kansai Nerolac Paints Ltd.,KANSAINER
150.75,132.11,14.109454242676545,Bliss GVS Pharma Ltd.,BLISSGVS
1366.65,1172.24,16.584487818194233,AIA Engineering Ltd.,AIAENG
828.1,782.33,5.850472307082686,HCL Technologies Ltd.,HCLTECH
215,164.28,30.874117360603847,V-Guard Industries Ltd.,VGUARD
340.05,299.15,13.672070867457808,Oberoi Realty Ltd.,OBEROIRLTY
617,655.83,-5.9207416556119785,Persistent Systems Ltd.,PERSISTENT
968.05,1061.68,-8.81904151910181,Infosys Ltd.,INFY
315.25,229.2,37.54363001745201,Hindustan Zinc Ltd.,HINDZINC
467,501.98,-6.968405115741666,Wipro Ltd.,WIPRO
923,987.19,-6.502294391150645,Zensar Technolgies Ltd.,ZENSARTECH
367.55,402.48,-8.678692108924668,Mayur Uniquoters Ltd.,MAYURUNIQ
1402,1474.32,-4.905312279559386,eClerx Services Ltd.,ECLERX
1922,1930.51,-0.4408161573884617,Shriram City Union Finance Ltd.,SHRIRAMCIT
327.95,330.98,-0.915463169980068,Grindwell Norton Ltd.,GRINDWELL
465.35,545.39,-14.675736628834407,MindTree Ltd.,MINDTREE
324.75,312.63,3.876787256501297,Coal India Ltd.,COALINDIA
129.3,114.87,12.562026638809092,Tata Coffee Ltd.,TATACOFFEE
180.2,192.82,-6.544964215330362,Suven Life Sciences Ltd.,SUVEN
2049,1819.79,12.595409360420708,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
352.5,416.21,-15.307176665625521,Mahindra Lifespace Developers Ltd.,MAHLIFE
96.85,76.46,26.667538582265237,NLC India Ltd.,NLCINDIA
482.8,412.44,17.059451071671035,Kaveri Seed Company Ltd.,KSCL
145.9,111.93,30.34932547127669,NMDC Ltd.,NMDC
2396.7,2422.37,-1.0597059904143493,Tata Consultancy Services Ltd.,TCS
270.55,270.85,-0.11076241462064292,Unichem Laboratories Ltd.,UNICHEMLAB
33.5,29.47,13.674923651170687,SJVN Ltd.,SJVN
1735.45,1340.54,29.4590239754129,Nilkamal Ltd.,NILKAMAL
467,486.3,-3.968743573925563,Cyient Ltd.,CYIENT
500.1,477.62,4.706670574934052,Tech Mahindra Ltd.,TECHM
71.55,71.62,-0.09773806199386678,Jai Corp Ltd.,JAICORPLTD
116.25,90.01,29.15231640928785,Gujarat Mineral Development Corporation Ltd.,GMDCLTD
