name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02,2.86,2.86,37.9,2.36
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/maharashtraseamless/MS02,18.29,18.29,162.45,4.36
Container Corporation of India Ltd.,SERVICES,CONCOR,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,53.73,53.73,1300.8,3.79
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES,http://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV,15.96,15.96,164.65,2.61
MOIL Ltd.,METALS,MOIL,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,25.48,25.48,211.3,12.38
MphasiS Ltd.,IT,MPHASIS,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mphasis/MB02,26.32,26.32,498.95,2.5
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,14.62,14.62,243.55,2.14
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/dredgingcorporationindia/DCI,22.29,22.29,365.1,2.3
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aiaengineering/AIE01,43.95,43.95,871,2.63
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,14.62,14.62,243.55,2.14
Infosys Ltd.,IT,INFY,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,105.91,105.91,1083.15,3.41
Tata Sponge Iron Ltd.,METALS,TATASPONGE,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,59.67,59.67,489.1,3.36
Tech Mahindra Ltd.,IT,TECHM,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,23.48,23.48,523.25,2.3
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,9.14,9.14,223.8,2.59
IFCI Ltd.,FINANCIAL SERVICES,IFCI,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02,3.14,3.14,26.9,3.94
Clariant Chemicals (India) Ltd.,CHEMICALS,CLNINDIA,http://www.moneycontrol.com/india/stockpricequote/dyespigments/clariantchemicalsindia/CCI08,353.82,353.82,716.65,3.27
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,63.82,63.82,1148.1,2.36
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,5.4,5.4,66.35,2.23
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,27.47,27.47,483.8,4.3
