name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio,dividentYeild
Suven Life Sciences Ltd.,PHARMA,SUVEN,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/suvenlifesciences/SLS01,8.54,60,206.35,3.74,0.29%
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,13.39,700,257.6,2.58,5.43%
MindTree Ltd.,IT,MINDTREE,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13,63.81,170,652.9,3.05,2.61%
Hexaware Technologies Ltd.,IT,HEXAWARE,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,10.58,472.5,207.65,2.01,4.55%
Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD,56.88,120,460.4,4.49,2.62%
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,10.05,110,83.3,2.23,2.64%
FDC Ltd.,PHARMA,FDC,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,8.2,225,179.6,2.68,1.25%
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,5.8,58,122.75,2.19,0.95%
MphasiS Ltd.,IT,MPHASIS,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mphasis/MB02,26.32,160,462.5,2.62,3.47%
Tech Mahindra Ltd.,IT,TECHM,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,23.48,120,479.8,2.26,1.25%
Infosys Ltd.,IT,INFY,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,105.91,1,1207.25,3.12,4.93%
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,http://www.moneycontrol.com/india/stockpricequote/chemicals/vinatiorganics/VO01,22.44,175,476.05,2.71,0.74%
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,145.91,292,1148.9,2.01,2.55%
Persistent Systems Ltd.,IT,PERSISTENT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/persistentsystems/PS15,32.41,150,736.6,4.7,2.05%
Oil India Ltd.,ENERGY,OIL,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,41.76,200,328.6,3.72,6.09%
Coal India Ltd.,METALS,COALINDIA,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,21.19,207,281.45,4.73,7.35%
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,9.14,100,178.65,2.51,2.80%
Container Corporation of India Ltd.,SERVICES,CONCOR,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,53.73,134,1342.1,4.34,1.00%
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,12.99,90,286.05,3.24,0.63%
Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,KIRLOSENG,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03,9.9,250,235.3,2.4,2.13%
